
{'out_of_rail_time': 0.3573344787516099, 'out_of_rail_velocity': np.float64(33.185809845866586), 'max_velocity': np.float64(304.21905357625116), 'apogee_time': np.float64(23.81859673134475), 'apogee_altitude': np.float64(3098.538319264618), 'apogee_x': np.float64(699.6048361725844), 'apogee_y': np.float64(36.97063266894739), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.27322174042399), 'out_of_rail_static_margin': np.float64(1.315476701332093), 'out_of_rail_stability_margin': np.float64(1.3182957430602473), 'execution_time': 2.109375}

{'out_of_rail_time': 0.3583053806803958, 'out_of_rail_velocity': np.float64(33.17386445736738), 'max_velocity': np.float64(302.2320241277416), 'apogee_time': np.float64(23.3797729627814), 'apogee_altitude': np.float64(3007.2392538288946), 'apogee_x': np.float64(554.2235533108782), 'apogee_y': np.float64(12.46274007442656), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.1167209385630215), 'out_of_rail_static_margin': np.float64(1.157045579895346), 'out_of_rail_stability_margin': np.float64(1.1599719825057946), 'execution_time': 1.859375}

{'out_of_rail_time': 0.3735876095411945, 'out_of_rail_velocity': np.float64(32.120843722434635), 'max_velocity': np.float64(297.8210901108819), 'apogee_time': np.float64(23.405943467149882), 'apogee_altitude': np.float64(2989.169758259078), 'apogee_x': np.float64(484.15361369926705), 'apogee_y': np.float64(22.59594740340201), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.2797769616922507), 'out_of_rail_static_margin': np.float64(1.3182691024247801), 'out_of_rail_stability_margin': np.float64(1.3210583059891985), 'execution_time': 1.828125}

{'out_of_rail_time': 0.370888735514764, 'out_of_rail_velocity': np.float64(32.12470105407521), 'max_velocity': np.float64(297.9750442008495), 'apogee_time': np.float64(23.623017352156136), 'apogee_altitude': np.float64(3034.0867901367287), 'apogee_x': np.float64(419.1200540748597), 'apogee_y': np.float64(12.019472032590327), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.1509549930873753), 'out_of_rail_static_margin': np.float64(1.1904471995689903), 'out_of_rail_stability_margin': np.float64(1.1931592306514858), 'execution_time': 1.734375}

{'out_of_rail_time': 0.3693633328451056, 'out_of_rail_velocity': np.float64(32.37200801072125), 'max_velocity': np.float64(301.2303684378213), 'apogee_time': np.float64(23.745642215892435), 'apogee_altitude': np.float64(3065.9455260489453), 'apogee_x': np.float64(683.2450739872576), 'apogee_y': np.float64(7.528365228229755), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.1154109217097503), 'out_of_rail_static_margin': np.float64(1.1526312790255246), 'out_of_rail_stability_margin': np.float64(1.1553111970823047), 'execution_time': 2.03125}

{'out_of_rail_time': 0.36147431694448723, 'out_of_rail_velocity': np.float64(32.79715764476555), 'max_velocity': np.float64(299.4676212555247), 'apogee_time': np.float64(23.34220208215908), 'apogee_altitude': np.float64(2984.0628481193303), 'apogee_x': np.float64(564.4565458310511), 'apogee_y': np.float64(21.20471913186306), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.0963249623450864), 'out_of_rail_static_margin': np.float64(1.1377416264812241), 'out_of_rail_stability_margin': np.float64(1.1406227535517661), 'execution_time': 1.796875}
