
{'out_of_rail_time': 0.2214453908868516, 'out_of_rail_velocity': 47.693974921100136, 'max_velocity': 349.51138728314, 'apogee_time': 22.232453961076377, 'apogee_altitude': 3053.2268301726876, 'apogee_x': 179.25613187388728, 'apogee_y': -1.716596612403571, 'impact_time': 199.44843945244065, 'impact_x': 318.65939310423664, 'impact_y': -30.492821333854344, 'impact_velocity': -4.439809435838919, 'initial_static_margin': 1.8735703840298616, 'out_of_rail_static_margin': 1.9129731876612264, 'out_of_rail_stability_margin': 1.9188330897804833, 'final_static_margin': 2.237755925696167, 'number_of_events': 2, 'execution_time': 7.390625, 'drogue_triggerTime': 22.240000000000002, 'drogue_inflated_time': 22.240000000000002, 'drogue_inflated_velocity': 5.89756264715158}
{'out_of_rail_time': 0.23280468410038543, 'out_of_rail_velocity': 45.309235525981656, 'max_velocity': 339.96203639957366, 'apogee_time': 21.977589348113806, 'apogee_altitude': 2979.46283852476, 'apogee_x': 121.99728419327236, 'apogee_y': -38.711458740266295, 'impact_time': 121.14582626773921, 'impact_x': 265.63511878856093, 'impact_y': 32.7685196906217, 'impact_velocity': -31.38189506479268, 'initial_static_margin': 1.7943962744789275, 'out_of_rail_static_margin': 1.830348858256784, 'out_of_rail_stability_margin': 1.8358525281916398, 'final_static_margin': 2.141707433886681, 'number_of_events': 2, 'execution_time': 8.890625, 'drogue_triggerTime': 21.98, 'drogue_inflated_time': 21.98, 'drogue_inflated_velocity': 4.399627516031134}

{'out_of_rail_time': 0.2027579927373625, 'out_of_rail_velocity': 52.10014762151927, 'max_velocity': 357.76823534004797, 'apogee_time': 21.82418580448467, 'apogee_altitude': 2983.6064271339724, 'apogee_x': 212.22951637929157, 'apogee_y': 2.484395524013001, 'impact_time': 203.18629605697737, 'impact_x': 476.13761891793683, 'impact_y': -15.9665180483542, 'impact_velocity': -4.451754676467773, 'initial_static_margin': 1.804145799567119, 'out_of_rail_static_margin': 1.8470593072681747, 'out_of_rail_stability_margin': 1.8540980264651776, 'final_static_margin': 2.1685200423719637, 'number_of_events': 2, 'execution_time': 7.5625, 'drogue_triggerTime': 21.830000000000002, 'drogue_inflated_time': 21.830000000000002, 'drogue_inflated_velocity': 7.23482150200106}
{'out_of_rail_time': 0.19920166498025488, 'out_of_rail_velocity': 52.99769076346604, 'max_velocity': 359.0907261123426, 'apogee_time': 21.613569699947952, 'apogee_altitude': 2941.8811379049534, 'apogee_x': 218.50161183829067, 'apogee_y': 44.522765488095814, 'impact_time': 204.12339306105656, 'impact_x': 272.09754656914316, 'impact_y': -142.54037865117795, 'impact_velocity': -4.445737959314812, 'initial_static_margin': 1.74458958129083, 'out_of_rail_static_margin': 1.7873374533786308, 'out_of_rail_stability_margin': 1.7947660814958548, 'final_static_margin': 2.1028833479651357, 'number_of_events': 2, 'execution_time': 8.46875, 'drogue_triggerTime': 21.62, 'drogue_inflated_time': 21.62, 'drogue_inflated_velocity': 7.209723133354613}

{'out_of_rail_time': 0.20628328371974322, 'out_of_rail_velocity': 51.198392313038305, 'max_velocity': 356.7493226549943, 'apogee_time': 21.92713835007982, 'apogee_altitude': 3001.424308253158, 'apogee_x': 197.957771773912, 'apogee_y': -82.72479887733928, 'impact_time': 201.7941529426957, 'impact_x': 267.08966890192, 'impact_y': 229.3977968246474, 'impact_velocity': -4.426636510483981, 'initial_static_margin': 1.8511464324325957, 'out_of_rail_static_margin': 1.8943333874810984, 'out_of_rail_stability_margin': 1.9011789558798204, 'final_static_margin': 2.225635039756684, 'number_of_events': 2, 'execution_time': 8.71875, 'drogue_triggerTime': 21.93, 'drogue_inflated_time': 21.93, 'drogue_inflated_velocity': 6.781573123042547}
{'out_of_rail_time': 0.23956741368583676, 'out_of_rail_velocity': 44.013006356365224, 'max_velocity': 340.081640510095, 'apogee_time': 22.384725828189236, 'apogee_altitude': 3060.676985169996, 'apogee_x': 288.8638964243996, 'apogee_y': -16.900949645384237, 'impact_time': 202.83420399515995, 'impact_x': 219.37759274171935, 'impact_y': 79.8462239478415, 'impact_velocity': -4.4659993033317855, 'initial_static_margin': 1.8011473145143644, 'out_of_rail_static_margin': 1.8361652025586388, 'out_of_rail_stability_margin': 1.8412190930680308, 'final_static_margin': 2.1502960648350236, 'number_of_events': 2, 'execution_time': 7.578125, 'drogue_triggerTime': 22.39, 'drogue_inflated_time': 22.39, 'drogue_inflated_velocity': 9.05299330443142}

{'out_of_rail_time': 0.22003711430136644, 'out_of_rail_velocity': 47.94172917783509, 'max_velocity': 347.06747268293634, 'apogee_time': 21.82289504354237, 'apogee_altitude': 2957.202544899674, 'apogee_x': 266.5549919873773, 'apogee_y': 51.57524687396062, 'impact_time': 201.0620207203956, 'impact_x': 225.7355004846816, 'impact_y': -156.91217854324424, 'impact_velocity': -4.43130917642124, 'initial_static_margin': 1.7473895288731445, 'out_of_rail_static_margin': 1.7862907639631926, 'out_of_rail_stability_margin': 1.7924032424856062, 'final_static_margin': 2.1041612516185255, 'number_of_events': 2, 'execution_time': 8.625, 'drogue_triggerTime': 21.830000000000002, 'drogue_inflated_time': 21.830000000000002, 'drogue_inflated_velocity': 8.60034801668269}
{'out_of_rail_time': 0.22959283199530686, 'out_of_rail_velocity': 45.97350638571781, 'max_velocity': 345.3675890046724, 'apogee_time': 22.3671926423284, 'apogee_altitude': 3073.0041343866264, 'apogee_x': 100.49112609575667, 'apogee_y': -15.961241220789725, 'impact_time': 201.11845764099516, 'impact_x': 446.23809834387976, 'impact_y': 81.05112329594148, 'impact_velocity': -4.460826893324056, 'initial_static_margin': 1.8573692422443329, 'out_of_rail_static_margin': 1.8957353002510446, 'out_of_rail_stability_margin': 1.9011514215631604, 'final_static_margin': 2.223131082769798, 'number_of_events': 2, 'execution_time': 7.765625, 'drogue_triggerTime': 22.37, 'drogue_inflated_time': 22.37, 'drogue_inflated_velocity': 3.7675336653071794}

{'out_of_rail_time': 0.23107168138474252, 'out_of_rail_velocity': 45.62398035239798, 'max_velocity': 339.7631503226786, 'apogee_time': 21.774955005199665, 'apogee_altitude': 2934.9822659366696, 'apogee_x': 157.5366518937, 'apogee_y': 6.054861754271916, 'impact_time': 199.36588106716135, 'impact_x': 229.4069871243271, 'impact_y': -21.260106281034613, 'impact_velocity': -4.415109564010498, 'initial_static_margin': 1.674070462030546, 'out_of_rail_static_margin': 1.7124730225885434, 'out_of_rail_stability_margin': 1.7181370797920372, 'final_static_margin': 2.042962617316353, 'number_of_events': 2, 'execution_time': 8.390625, 'drogue_triggerTime': 21.78, 'drogue_inflated_time': 21.78, 'drogue_inflated_velocity': 5.155161186125979}
