
{'out_of_rail_time': 0.21299869863454346, 'out_of_rail_velocity': 49.52478948773236, 'max_velocity': 345.96117033003253, 'apogee_time': 21.005516224080644, 'apogee_altitude': 2796.0800801397613, 'apogee_x': 100.92581262002867, 'apogee_y': -79.13424657778647, 'impact_time': 208.92343026106275, 'impact_x': 671.9320928361755, 'impact_y': 326.1021948469074, 'impact_velocity': -4.214979910811646, 'initial_static_margin': 2.0105536223147533, 'out_of_rail_static_margin': 2.0514441079018693, 'out_of_rail_stability_margin': 2.0581349039942265, 'final_static_margin': 2.375838510017385, 'number_of_events': 2, 'execution_time': 8.296875, 'drogue_triggerTime': 21.01, 'drogue_inflated_time': 21.01, 'drogue_inflated_velocity': 4.667418933155742}
{'out_of_rail_time': 0.20081534528496178, 'out_of_rail_velocity': 52.49660352198725, 'max_velocity': 358.21010735142744, 'apogee_time': 21.101030905164944, 'apogee_altitude': 2853.5048910224855, 'apogee_x': 6.955351269103344, 'apogee_y': -64.65215217463607, 'impact_time': 212.8791033765677, 'impact_x': 421.70319641047377, 'impact_y': 256.51257515442546, 'impact_velocity': -4.099749689934221, 'initial_static_margin': 2.209858934955294, 'out_of_rail_static_margin': 2.254014342256613, 'out_of_rail_stability_margin': 2.2604916543052873, 'final_static_margin': 2.5848391804059787, 'number_of_events': 2, 'execution_time': 7.671875, 'drogue_triggerTime': 21.11, 'drogue_inflated_time': 21.11, 'drogue_inflated_velocity': 1.8035972508356812}
{'out_of_rail_time': 0.2081734305623469, 'out_of_rail_velocity': 50.624008717195665, 'max_velocity': 337.97641627742524, 'apogee_time': 19.459357042442846, 'apogee_altitude': 2477.347405313784, 'apogee_x': 202.12629548547096, 'apogee_y': -80.44282628792124, 'impact_time': 209.54706364843895, 'impact_x': 206.42210290677, 'impact_y': 428.6476986308081, 'impact_velocity': -3.848101931983011, 'initial_static_margin': 1.9088676370001174, 'out_of_rail_static_margin': 1.9473522691502452, 'out_of_rail_stability_margin': 1.9545874593419086, 'final_static_margin': 2.246201610295452, 'number_of_events': 2, 'execution_time': 5.8125, 'drogue_triggerTime': 19.46, 'drogue_inflated_time': 19.46, 'drogue_inflated_velocity': 7.094127869531857}
{'out_of_rail_time': 0.23871023143302114, 'out_of_rail_velocity': 44.18906825385137, 'max_velocity': 322.2189774148673, 'apogee_time': 20.187129621492183, 'apogee_altitude': 2590.724715736699, 'apogee_x': 104.42806187038516, 'apogee_y': -49.051450381089204, 'impact_time': 211.18135567755385, 'impact_x': 234.77257414531147, 'impact_y': 151.53252680372586, 'impact_velocity': -3.880133261813593, 'initial_static_margin': 1.992740360396416, 'out_of_rail_static_margin': 2.028589987130715, 'out_of_rail_stability_margin': 2.034180703829025, 'final_static_margin': 2.3479345136147596, 'number_of_events': 2, 'execution_time': 7.5625, 'drogue_triggerTime': 20.19, 'drogue_inflated_time': 20.19, 'drogue_inflated_velocity': 3.9006324456816412}
{'out_of_rail_time': 0.22703504007392764, 'out_of_rail_velocity': 46.464598031625066, 'max_velocity': 341.4820618247288, 'apogee_time': 21.12556289747253, 'apogee_altitude': 2820.616061527852, 'apogee_x': 13.209877775486206, 'apogee_y': -86.07552552152642, 'impact_time': 211.8865055718976, 'impact_x': 748.6308632206936, 'impact_y': 288.52149568477387, 'impact_velocity': -4.101629038247568, 'initial_static_margin': 2.074982011865514, 'out_of_rail_static_margin': 2.1140409243885876, 'out_of_rail_stability_margin': 2.1193258185346755, 'final_static_margin': 2.4440087801970525, 'number_of_events': 2, 'execution_time': 8.5625, 'drogue_triggerTime': 21.13, 'drogue_inflated_time': 21.13, 'drogue_inflated_velocity': 2.7178052871423493}

{'out_of_rail_time': 0.2367764618247498, 'out_of_rail_velocity': 44.527127028041214, 'max_velocity': 323.0249552125263, 'apogee_time': 20.214967196915, 'apogee_altitude': 2590.9828983086436, 'apogee_x': 227.4443572627469, 'apogee_y': -117.34299213105264, 'impact_time': 210.93179022764983, 'impact_x': 207.99998827366522, 'impact_y': 354.0435325122302, 'impact_velocity': -3.8874085753302476, 'initial_static_margin': 2.030543802835416, 'out_of_rail_static_margin': 2.065350612858982, 'out_of_rail_stability_margin': 2.0710534295077805, 'final_static_margin': 2.372625151990717, 'number_of_events': 2, 'execution_time': 7.78125, 'drogue_triggerTime': 20.22, 'drogue_inflated_time': 20.22, 'drogue_inflated_velocity': 8.211332499673208}
{'out_of_rail_time': 0.2050179392369756, 'out_of_rail_velocity': 51.43861555705243, 'max_velocity': 346.021488429607, 'apogee_time': 20.488462203962268, 'apogee_altitude': 2684.6705074220868, 'apogee_x': 81.20116703213185, 'apogee_y': -131.10740465080562, 'impact_time': 207.1480806654893, 'impact_x': 607.4381867636007, 'impact_y': 516.7087910557286, 'impact_velocity': -4.0400700868451365, 'initial_static_margin': 2.102981125396748, 'out_of_rail_static_margin': 2.1464873009102767, 'out_of_rail_stability_margin': 2.1538383206060736, 'final_static_margin': 2.47706141836481, 'number_of_events': 2, 'execution_time': 6.703125, 'drogue_triggerTime': 20.490000000000002, 'drogue_inflated_time': 20.490000000000002, 'drogue_inflated_velocity': 4.848623870704566}
{'out_of_rail_time': 0.21978580329837055, 'out_of_rail_velocity': 47.941469299728105, 'max_velocity': 334.7013171581591, 'apogee_time': 20.525287729222043, 'apogee_altitude': 2667.5322262329737, 'apogee_x': 131.3495968493196, 'apogee_y': -128.427556272492, 'impact_time': 208.21373180899275, 'impact_x': 463.08310825556106, 'impact_y': 405.454832904364, 'impact_velocity': -3.9902151572542013, 'initial_static_margin': 2.15846289050958, 'out_of_rail_static_margin': 2.1972711134709817, 'out_of_rail_stability_margin': 2.2040651062561754, 'final_static_margin': 2.5154307524551145, 'number_of_events': 2, 'execution_time': 8.359375, 'drogue_triggerTime': 20.53, 'drogue_inflated_time': 20.53, 'drogue_inflated_velocity': 5.978293363215716}
{'out_of_rail_time': 0.22883701549971797, 'out_of_rail_velocity': 46.083398081007665, 'max_velocity': 326.89873323612466, 'apogee_time': 20.165190174937973, 'apogee_altitude': 2588.2302439788323, 'apogee_x': 142.37190223074245, 'apogee_y': -27.041462569563837, 'impact_time': 207.44611850573705, 'impact_x': 442.0018923348024, 'impact_y': 137.54777207267654, 'impact_velocity': -3.8894520976542983, 'initial_static_margin': 2.0594704382731392, 'out_of_rail_static_margin': 2.09816797495945, 'out_of_rail_stability_margin': 2.104358408386924, 'final_static_margin': 2.4272996557190836, 'number_of_events': 2, 'execution_time': 5.875, 'drogue_triggerTime': 20.17, 'drogue_inflated_time': 20.17, 'drogue_inflated_velocity': 5.309256189836002}
{'out_of_rail_time': 0.23593595677782717, 'out_of_rail_velocity': 44.69965009919781, 'max_velocity': 338.13648354783686, 'apogee_time': 21.711367398476693, 'apogee_altitude': 2922.434642836201, 'apogee_x': 72.18282378662985, 'apogee_y': -141.30570082709994, 'impact_time': 209.2162966072483, 'impact_x': 315.3331224376458, 'impact_y': 367.62626188314766, 'impact_velocity': -4.281372560950718, 'initial_static_margin': 2.057079492487456, 'out_of_rail_static_margin': 2.0946898224472386, 'out_of_rail_stability_margin': 2.099830106983474, 'final_static_margin': 2.4242252452118924, 'number_of_events': 2, 'execution_time': 6.859375, 'drogue_triggerTime': 21.72, 'drogue_inflated_time': 21.72, 'drogue_inflated_velocity': 4.58909409903292}
