
{'out_of_rail_time': 0.23127277556613296, 'out_of_rail_velocity': 45.6242601890765, 'max_velocity': 340.88136294435714, 'apogee_time': 21.876877223472878, 'apogee_altitude': 2957.976887890011, 'apogee_x': 172.2764557860665, 'apogee_y': -71.3552824958035, 'impact_time': 204.65103844658012, 'impact_x': 123.61731102063541, 'impact_y': 181.83616846886326, 'impact_velocity': -4.426379589416034, 'initial_static_margin': 1.836665260294648, 'out_of_rail_static_margin': 1.8754865466645254, 'out_of_rail_stability_margin': 1.881093853914897, 'final_static_margin': 2.2099091730891947, 'number_of_events': 2, 'execution_time': 7.734375, 'drogue_triggerTime': 21.88, 'drogue_inflated_time': 21.88, 'drogue_inflated_velocity': 5.744116132354461}
{'out_of_rail_time': 0.2290628526929035, 'out_of_rail_velocity': 46.06102934830647, 'max_velocity': 340.2147937247826, 'apogee_time': 21.670259402683357, 'apogee_altitude': 2917.4551550640967, 'apogee_x': 38.550781671378815, 'apogee_y': -64.10199134451736, 'impact_time': 201.44550047518345, 'impact_x': 119.15707314448986, 'impact_y': 183.9199702191177, 'impact_velocity': -4.394240881450969, 'initial_static_margin': 1.8257583568478557, 'out_of_rail_static_margin': 1.8630329579484184, 'out_of_rail_stability_margin': 1.868861681535132, 'final_static_margin': 2.180453725822244, 'number_of_events': 2, 'execution_time': 5.78125, 'drogue_triggerTime': 21.68, 'drogue_inflated_time': 21.68, 'drogue_inflated_velocity': 2.1358197080602763}

{'out_of_rail_time': 0.20446285881495313, 'out_of_rail_velocity': 51.65204598660739, 'max_velocity': 355.44427881201756, 'apogee_time': 21.650725699144587, 'apogee_altitude': 2939.647074249149, 'apogee_x': 248.85933225764856, 'apogee_y': -37.41802661696767, 'impact_time': 199.1389299124751, 'impact_x': 268.7126145102565, 'impact_y': 113.03491238545895, 'impact_velocity': -4.413666845640045, 'initial_static_margin': 1.9363399645277015, 'out_of_rail_static_margin': 1.9774572349557185, 'out_of_rail_stability_margin': 1.9845995856667251, 'final_static_margin': 2.288346975717095, 'number_of_events': 2, 'execution_time': 7.875, 'drogue_triggerTime': 21.66, 'drogue_inflated_time': 21.66, 'drogue_inflated_velocity': 8.126054011573626}
{'out_of_rail_time': 0.243920885166288, 'out_of_rail_velocity': 43.21252965521863, 'max_velocity': 334.50615797828743, 'apogee_time': 21.998614651487784, 'apogee_altitude': 2974.4368303924325, 'apogee_x': 51.389647920178554, 'apogee_y': 24.577766767884864, 'impact_time': 201.39722459267105, 'impact_x': 177.5477556351106, 'impact_y': -38.63078297920734, 'impact_velocity': -4.450407729800978, 'initial_static_margin': 1.7749943787296965, 'out_of_rail_static_margin': 1.8105704640976683, 'out_of_rail_stability_margin': 1.8156218328291376, 'final_static_margin': 2.1346594411984867, 'number_of_events': 2, 'execution_time': 5.125, 'drogue_triggerTime': 22.0, 'drogue_inflated_time': 22.0, 'drogue_inflated_velocity': 1.9713741277029564}

{'out_of_rail_time': 0.18070773465223672, 'out_of_rail_velocity': 58.44944531881355, 'max_velocity': 367.49691584840394, 'apogee_time': 21.15001793208294, 'apogee_altitude': 2862.4727872819626, 'apogee_x': -36.30897327832989, 'apogee_y': 56.805269673080616, 'impact_time': 199.98904754776188, 'impact_x': -39.64560659909539, 'impact_y': -296.91247279652737, 'impact_velocity': -4.3914587829233325, 'initial_static_margin': 1.8784214298715896, 'out_of_rail_static_margin': 1.9238309358464738, 'out_of_rail_stability_margin': 1.9331758932514165, 'final_static_margin': 2.2247089138580747, 'number_of_events': 2, 'execution_time': 7.421875, 'drogue_triggerTime': 21.16, 'drogue_inflated_time': 21.16, 'drogue_inflated_velocity': 1.7075541937230707}
{'out_of_rail_time': 0.23690384251547858, 'out_of_rail_velocity': 44.497859518025656, 'max_velocity': 341.1751846790666, 'apogee_time': 22.34356472589864, 'apogee_altitude': 3054.746284176415, 'apogee_x': 238.87770638166793, 'apogee_y': -30.515418935875672, 'impact_time': 203.46061191066286, 'impact_x': 245.5194352405347, 'impact_y': 66.90204778531468, 'impact_velocity': -4.464175368261585, 'initial_static_margin': 1.9452884261999228, 'out_of_rail_static_margin': 1.982595442916292, 'out_of_rail_stability_margin': 1.9877997291689773, 'final_static_margin': 2.313498659486389, 'number_of_events': 2, 'execution_time': 6.046875, 'drogue_triggerTime': 22.35, 'drogue_inflated_time': 22.35, 'drogue_inflated_velocity': 7.628815159513916}

{'out_of_rail_time': 0.22524221556125282, 'out_of_rail_velocity': 46.86751078051143, 'max_velocity': 345.72486137185973, 'apogee_time': 21.98393486724085, 'apogee_altitude': 2995.7306918376394, 'apogee_x': 82.35746144077036, 'apogee_y': 57.586075455934875, 'impact_time': 198.42470292683052, 'impact_x': 349.2996880603213, 'impact_y': -124.05190193629602, 'impact_velocity': -4.4608212474301325, 'initial_static_margin': 1.8643520623730767, 'out_of_rail_static_margin': 1.9037055596521115, 'out_of_rail_stability_margin': 1.9095212097696068, 'final_static_margin': 2.2339316725774996, 'number_of_events': 2, 'execution_time': 7.03125, 'drogue_triggerTime': 21.990000000000002, 'drogue_inflated_time': 21.990000000000002, 'drogue_inflated_velocity': 3.435776536452424}
{'out_of_rail_time': 0.22229363094312243, 'out_of_rail_velocity': 47.44818201503499, 'max_velocity': 344.22503950889416, 'apogee_time': 21.593261611578498, 'apogee_altitude': 2899.4092174641123, 'apogee_x': 395.31364438185716, 'apogee_y': 32.01795564278573, 'impact_time': 202.49565471390588, 'impact_x': 432.99968532470746, 'impact_y': -138.58414011859205, 'impact_velocity': -4.4155813952400464, 'initial_static_margin': 1.8169771666022763, 'out_of_rail_static_margin': 1.855911712469214, 'out_of_rail_stability_margin': 1.8620848440546023, 'final_static_margin': 2.177898103173696, 'number_of_events': 2, 'execution_time': 7.21875, 'drogue_triggerTime': 21.6, 'drogue_inflated_time': 21.6, 'drogue_inflated_velocity': 13.054821180720056}
